"plattform_id","plattform_name","has_betreiber","has_applikation","has_5years","has_mitglieder_1k","has_texte_5k","indicators_available","hits","score","klasse"
"I1","Fanfiktion.de",1,1,1,1,1,5,5,1.000,"professionell"
"I2","StoryApp",1,1,1,1,0,5,4,0.800,"professionell"
"I4","smartstorys.at",1,1,1,NULL,0,4,3,0.750,"professionell"
"I5","Wattpad",1,1,1,1,NULL,4,4,1.000,"professionell"
"I6","Wortkrieger",1,0,1,1,1,5,4,0.800,"professionell"
"I7","Inkitt",1,1,1,1,NULL,4,4,1.000,"professionell"
"I8","Royal Road",1,1,1,1,NULL,4,4,1.000,"professionell"
"I9","Federteufel",1,0,1,NULL,0,4,2,0.500,"semi-professionell"
"I10","Leselupe.de",1,0,1,1,1,5,4,0.800,"professionell"
"I13","e-Stories*",1,0,1,1,1,5,4,0.800,"professionell"
"I15","Fantasy-Geschichten-Forum.de",1,0,1,0,0,5,2,0.400,"nicht professionell"
"I18","keinVerlag.de",1,0,1,0,1,5,3,0.600,"semi-professionell"
"I20","LiteraturForum",1,0,1,1,1,5,4,0.800,"professionell"
"I21","Musengarten",1,0,1,NULL,NULL,3,2,0.667,"semi-professionell"
"I22","Poetry.de",1,0,1,1,1,5,4,0.800,"professionell"
"I23","Schreib-Forum",1,0,1,0,1,5,3,0.600,"semi-professionell"
"I26","Tacheles",1,0,1,0,1,5,3,0.600,"semi-professionell"
"I27","WebStories",1,0,1,NULL,1,4,3,0.750,"professionell"
"I11","Blauer Salon",0,0,1,0,1,5,2,0.400,"nicht professionell"
"I12","Deutsches Schriftstellerforum",0,0,1,1,NULL,4,2,0.500,"semi-professionell"
"I14","Fanstasy- und Schreibforum",0,0,1,0,1,5,2,0.400,"nicht professionell"
"I16","FantasyReich",0,0,1,0,0,5,1,0.200,"nicht professionell"
"I17","fiction-writing",0,0,1,0,0,5,1,0.200,"nicht professionell"
"I19","literatur-forum.info",0,0,1,1,0,5,2,0.400,"nicht professionell"
"I24","schreibpodium.de",0,0,1,0,0,5,1,0.200,"nicht professionell"
"I25","Scriptorium",0,0,1,NULL,NULL,3,1,0.333,"nicht professionell"
