"zn","literaturzeitschrift_name","erstveroeffentlichung","publikationszyklus","auflagenhoehe"
1,"Abwärts","2014","3-4 mal pro Jahr","?"
2,"Akzente","1954","vierteljährlich","2000"
3,"Allmende – Zeitschrift für Literatur","1981","halbjährlich","2000"
4,"Am Erker","1977","halbjährlich","?"
5,"apostrophe","2020","halbjährlich","?"
6,"ausreißer - die Grazer Wandzeitung","2004","vier bis fünfmal jährlich","?"
7,"außer.dem","1999","jährlich","?"
8,"BELLA triste ","2001","dreimal jährlich","2.400"
9,"DAS GRAMM","2021","alle zwei Monate","?"
10,"Das Magazin","1924","monatlich","46000"
11,"Das Narr","2011","dreimal jährlich","?"
12,"Das WETTER","2013","viermal jährlich","6000"
13,"Delfi ","2023","halbjährlich","?"
14,"delirium – Zeitschrift gegen Literatur ","2013","halbjährlich","?"
15,"Der Schnipsel","2012","jährlich","?"
16,"Dichtungsring","1981","halbjährlich","?"
17,"Die Horen","1955","vierteljährlich","4000"
18,"Die Rampe","1975","viermal jährlich","?"
19,"dO!PEN","2000","unregelmäßig (anfangs dreimal pro Jahr, dann immer weniger, teils gar keine Ausgabe für mehrere Jahre) ","120"
20,"Drecksack - Lesbare Zeitschrift für Literatur","2010","vierteljährlich","?"
21,"DUM","1992","vierteljährlich","1000 (Stand: Jahr 2000)"
22,"Edit","1993","dreimal jährlich","2000"
23,"erostepost","1987","halbjährlich","500-800"
24,"etcetera","1999","vierteljährlich","?"
25,"Exodus Magazin","1975 (Pause von 1980-2003)","halbjährlich","?"
26,"Experimenta","2010","monatlich","?"
27,"Glitter","2017","alle 1 bis 2 Jahre","?"
28,"Jenny: Denken, Glänzen, Text","2013","jährlich","?"
29,"Johnny ","2014","jährlich","?"
30,"kalmenzone","2013","halbjährlich","nur online"
31,"kassiber","2023","?","?"
32,"Kliteratur","2018","ein- bis zweimal jährlich","500"
33,"Kolik","1997","vierteljährlich","?"
34,"[kon]-paper","2015","jährlich","1000"
35,"Konzepte","1987","jährlich","800"
36,"Krachkultur","1993","jährlich","1000"
37,"Landpartie","2005","jährlich","?"
38,"Lettre International","1988","vierteljährlich","22000"
39,"Lichtungen","1979","vierteljährlich","1.100-1.400"
40,"Literarische Blätter","2019","monatlich","?"
41,"Literarisches Österreich","2007","zweimal jährlich","?"
42,"Literaturbote","1985","zweimal jährlich","?"
43,"Literatur in Bayern","1985","vierteljährlich","1000"
44,"Literatur und Kritik","1966","fünfmal jährlich","?"
45,"manuskripte","1960","vierteljährlich","?"
46,"Matrix","2005","vierteljährlich","?"
47,"MAULhURE (Magazin)","2010","wechselnd","?"
48,"metamorphosen","2013","vierteljährlich","?"
49,"miromente","2005","vierteljährlich","500 Abos"
50,"mosaik - Zeitschrift für Literatur und Kultur","2012","dreimal jährlich","1250"
51,"Neue Rundschau","1890","vierteljährlich","?"
52,"Oda - Ort der Augen","mind. 1999","vierteljährlich","?"
53,"Open Sewers","2022","zweimal jährlich","?"
54,"orte","1974","fünfmal jährlich","1000 Leserinnen und Leser"
55,"Perspektive","1979","vierteljährlich","1000 (siehe Paul Pechmann: Die Zeitschrift perspektive im österreichischen Literaturbetrieb. In: reveu nach neunundvierzig nummern perspektive. Wien: Sonderzahl, 2006. S. 12.)"
56,"phantastisch!","2001","vierteljährlich","?"
57,"Podium","1971","halbjährlich in zwei Doppelnummern","?"
58,"Prozess*in","2021","jährlich","?"
59,"& Radieschen","2006","viermal jährlich","?"
60,"Risse","1998","halbjährlich","?"
61,"SALZ","1975","viermal jährlich","1100"
62,"Schliff","2014","zweimal jährlich","?"
63,"Schreibheft","1977","zweimal jährlich","?"
64,"schreibkraft","1998","zweimal jährlich","?"
65,"SCHREIBTISCH","2017","jährlich","?"
66,"[SIC]","2005","unregelmäßig etwa alle drei Jahre","?"
67,"Signum","1999","zweimal jährlich","?"
68,"Sinn und Form","1949","sechsmal jährlich","3000"
69,"Sprache im technischen Zeitalter (Spr.i.t.Z.)","1961","viermal jährlich","?"
70,"Streckenläufer","1990","etwa jährlich","?"
71,"Syltse","?","ein bis zweimal jährlich","250-500"
72,"Triedere","?","zweimal jährlich","?"
73,"VOLLTEXT","2002","viermal jährlich","15000"
74,"V: Vorarlberger Zeitschrift für Literatur","?","ein bis zweimal jährlich","?"
75,"Weisz auf Schwarz","2007","unregelmäßig","?"
76,"wespennest","1969","zweimal jährlich","5000 Mindestauflage"
77,"Words and Worlds","2016","halbjährlich","?"
78,"WORTSCHAU","2007","dreimal jährlich","?"
79,"zugetextet.com","2015","jährlich im Print ","?"
